name,color
Detritivore,#083E77
P. producer,#083E77
Herbivore,#083E77
Omnivore,#083E77
Predator,#083E77
Detritivore,#6495ED
P. producer,#6495ED
Herbivore,#6495ED
Omnivore,#6495ED
Predator,#6495ED
Several,#6495ED
P. producer,#8a2c00
Omnivore,#8a2c00
