name,color
parasite,#083E77
detritivore,#083E77
primary producer,#083E77
herbivore,#083E77
omnivore,#083E77
predator,#083E77
detritivore,#BFAE40
primary producer,#BFAE40
herbivore,#BFAE40
omnivore,#BFAE40
predator,#BFAE40
several,#BFAE40
parasite,#8a2c00
detritivore,#8a2c00
primary producer,#8a2c00
herbivore,#8a2c00
omnivore,#8a2c00
predator,#8a2c00
